terminal,OCOR
"Cais Comercial de Atracação de Barcaças",1
"Cais Público - Alamoa",7
"Cais Público",7
"Cais de Múltiplos Usos - CMU",14
"Cais de Uso da CODERN",1
"PIER DA PETROBRAS",7
"Píer Público",2
"Píer de Graneis Líquidos 2",1
"Píer de Graneis Líquidos 3A",2
"Terminal Aquaviário de Aracaju",3
"Terminal Aquaviário de Guamaré",2
"Terminal Aquaviário de Madre de Deus",5
"Terminal Aquaviário de Manaus",2
"Terminal Aquaviário do Norte Capixaba",4
"Terminal Trombetas",2
"Terminal de Granel Líquido",1
"Terminal de Granéis Líquidos",1
"Terminal de Miramar",876
"Terminal de Múltiplo Uso -1",62
